[11:25:38] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[12:27:35]     [T2 5O60_E pH5.5 p2] target=+18 eff=+10.508 n=60 (52s)
[12:28:29]     [T2 5O60_E pH5.5 n8] target=+8 eff=+4.890 n=60 (54s)
[12:29:24]     [T2 5O60_E pH5.5 p8] target=+24 eff=+13.879 n=60 (54s)
[12:30:18]     [T2 5O60_E pH6.0 native] target=+14 eff=+8.261 n=60 (55s)
[12:31:13]     [T2 5O60_E pH6.0 n2] target=+12 eff=+7.138 n=60 (55s)
[12:32:07]     [T2 5O60_E pH6.0 p2] target=+16 eff=+9.385 n=60 (54s)
[12:33:02]     [T2 5O60_E pH6.0 n8] target=+6 eff=+3.767 n=60 (55s)
[12:33:57]     [T2 5O60_E pH6.0 p8] target=+22 eff=+12.756 n=60 (55s)
[12:34:51]     [T2 5O60_E pH6.5 native] target=+12 eff=+7.138 n=60 (54s)
[12:35:45]     [T2 5O60_E pH6.5 n2] target=+10 eff=+6.014 n=60 (54s)
[12:36:40]     [T2 5O60_E pH6.5 p2] target=+14 eff=+8.261 n=60 (54s)
[12:37:34]     [T2 5O60_E pH6.5 n8] target=+4 eff=+2.643 n=60 (54s)
[12:38:29]     [T2 5O60_E pH6.5 p8] target=+20 eff=+11.632 n=60 (55s)
[12:39:23]     [T2 5O60_E pH7.0 native] target=+11 eff=+6.576 n=60 (54s)
[12:40:18]     [T2 5O60_E pH7.0 n2] target=+9 eff=+5.452 n=60 (54s)
[12:41:12]     [T2 5O60_E pH7.0 p2] target=+13 eff=+7.699 n=60 (55s)
[12:42:07]     [T2 5O60_E pH7.0 n8] target=+3 eff=+2.081 n=60 (54s)
[12:43:01]     [T2 5O60_E pH7.0 p8] target=+19 eff=+11.070 n=60 (54s)
[12:43:56]     [T2 5O60_E pH7.4 native] target=+11 eff=+6.576 n=60 (54s)
[12:44:50]     [T2 5O60_E pH7.4 n2] target=+9 eff=+5.452 n=60 (54s)
[12:45:44]     [T2 5O60_E pH7.4 p2] target=+13 eff=+7.699 n=60 (54s)
[12:46:39]     [T2 5O60_E pH7.4 n8] target=+3 eff=+2.081 n=60 (55s)
[12:47:33]     [T2 5O60_E pH7.4 p8] target=+19 eff=+11.070 n=60 (54s)
[12:48:28]     [T2 5O60_E pH8.0 native] target=+11 eff=+6.576 n=60 (55s)
[12:49:22]     [T2 5O60_E pH8.0 n2] target=+9 eff=+5.452 n=60 (54s)
[12:50:17]     [T2 5O60_E pH8.0 p2] target=+13 eff=+7.699 n=60 (54s)
[12:51:11]     [T2 5O60_E pH8.0 n8] target=+3 eff=+2.081 n=60 (54s)
[12:52:06]     [T2 5O60_E pH8.0 p8] target=+19 eff=+11.070 n=60 (54s)
[12:53:00]     [T2 5O60_E pH8.5 native] target=+11 eff=+6.576 n=60 (55s)
[12:53:55]     [T2 5O60_E pH8.5 n2] target=+9 eff=+5.452 n=60 (55s)
[12:54:49]     [T2 5O60_E pH8.5 p2] target=+13 eff=+7.699 n=60 (55s)
[12:55:44]     [T2 5O60_E pH8.5 n8] target=+3 eff=+2.081 n=60 (55s)
[12:56:39]     [T2 5O60_E pH8.5 p8] target=+19 eff=+11.070 n=60 (55s)
[12:57:33]     [T2 5O60_E pH9.0 native] target=+10 eff=+6.014 n=60 (55s)
[12:58:28]     [T2 5O60_E pH9.0 n2] target=+8 eff=+4.890 n=60 (55s)
[12:59:22]     [T2 5O60_E pH9.0 p2] target=+12 eff=+7.138 n=60 (55s)
