[12:26:59] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[12:26:59] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[13:59:31]     [T2 1BJ4 pH5.5 native] target=+15 eff=+8.771 n=60 (66s)
[14:00:37]     [T2 1BJ4 pH5.5 n2] target=+13 eff=+7.853 n=60 (66s)
[14:01:43]     [T2 1BJ4 pH5.5 p2] target=+17 eff=+9.688 n=60 (66s)
[14:02:50]     [T2 1BJ4 pH5.5 n8] target=+7 eff=+5.099 n=60 (66s)
[14:03:57]     [T2 1BJ4 pH5.5 p8] target=+23 eff=+12.442 n=60 (67s)
[14:05:03]     [T2 1BJ4 pH6.0 native] target=+9 eff=+6.017 n=60 (66s)
[14:06:09]     [T2 1BJ4 pH6.0 n2] target=+7 eff=+5.099 n=60 (66s)
[14:07:15]     [T2 1BJ4 pH6.0 p2] target=+11 eff=+6.935 n=60 (66s)
[14:08:22]     [T2 1BJ4 pH6.0 n8] target=+1 eff=+2.346 n=60 (66s)
[14:09:22]     [T2 1BJ4 pH6.0 p8] target=+17 eff=+9.688 n=60 (60s)
[14:10:16]     [T2 1BJ4 pH6.5 native] target=+5 eff=+4.181 n=60 (55s)
[14:11:11]     [T2 1BJ4 pH6.5 n2] target=+3 eff=+3.263 n=60 (54s)
[14:12:05]     [T2 1BJ4 pH6.5 p2] target=+7 eff=+5.099 n=60 (55s)
[14:13:00]     [T2 1BJ4 pH6.5 n8] target=-3 eff=+0.510 n=60 (55s)
[14:13:55]     [T2 1BJ4 pH6.5 p8] target=+13 eff=+7.853 n=60 (55s)
[14:14:49]     [T2 1BJ4 pH7.0 native] target=+2 eff=+2.804 n=60 (55s)
[14:15:44]     [T2 1BJ4 pH7.0 n2] target=+0 eff=+1.887 n=60 (55s)
[14:16:38]     [T2 1BJ4 pH7.0 p2] target=+4 eff=+3.722 n=60 (54s)
[14:17:33]     [T2 1BJ4 pH7.0 n8] target=-6 eff=-0.867 n=60 (55s)
[14:18:27]     [T2 1BJ4 pH7.0 p8] target=+10 eff=+6.476 n=60 (54s)
[14:19:22]     [T2 1BJ4 pH7.4 native] target=+0 eff=+1.887 n=60 (55s)
[14:20:16]     [T2 1BJ4 pH7.4 n2] target=-2 eff=+0.969 n=60 (55s)
[14:21:11]     [T2 1BJ4 pH7.4 p2] target=+2 eff=+2.804 n=60 (55s)
[14:22:05]     [T2 1BJ4 pH7.4 n8] target=-8 eff=-1.785 n=60 (55s)
[14:23:00]     [T2 1BJ4 pH7.4 p8] target=+8 eff=+5.558 n=60 (55s)
[14:23:54]     [T2 1BJ4 pH8.0 native] target=-2 eff=+0.969 n=60 (55s)
[14:24:49]     [T2 1BJ4 pH8.0 n2] target=-4 eff=+0.051 n=60 (55s)
[14:25:43]     [T2 1BJ4 pH8.0 p2] target=+0 eff=+1.887 n=60 (55s)
[14:26:38]     [T2 1BJ4 pH8.0 n8] target=-10 eff=-2.703 n=60 (55s)
[14:27:32]     [T2 1BJ4 pH8.0 p8] target=+6 eff=+4.640 n=60 (54s)
[14:28:27]     [T2 1BJ4 pH8.5 native] target=-6 eff=-0.867 n=60 (55s)
[14:29:22]     [T2 1BJ4 pH8.5 n2] target=-8 eff=-1.785 n=60 (55s)
[14:30:16]     [T2 1BJ4 pH8.5 p2] target=-4 eff=+0.051 n=60 (54s)
[14:31:11]     [T2 1BJ4 pH8.5 n8] target=-14 eff=-4.538 n=60 (55s)
[14:32:05]     [T2 1BJ4 pH8.5 p8] target=+2 eff=+2.804 n=60 (54s)
[14:33:00]     [T2 1BJ4 pH9.0 native] target=-10 eff=-2.703 n=60 (54s)
[14:33:54]     [T2 1BJ4 pH9.0 n2] target=-12 eff=-3.620 n=60 (55s)
[14:34:49]     [T2 1BJ4 pH9.0 p2] target=-8 eff=-1.785 n=60 (54s)
[14:35:43]     [T2 1BJ4 pH9.0 n8] target=-18 eff=-6.374 n=60 (54s)
[14:36:38]     [T2 1BJ4 pH9.0 p8] target=-2 eff=+0.969 n=60 (54s)
[14:37:32]     [T3 1BJ4 pH5.0 native] target=+21 eff=+18.173 n=60 (55s)
[14:38:27]     [T3 1BJ4 pH5.0 n2] target=+19 eff=+16.602 n=60 (55s)
[14:39:21]     [T3 1BJ4 pH5.0 p2] target=+23 eff=+19.745 n=60 (55s)
[14:40:16]     [T3 1BJ4 pH5.0 n8] target=+13 eff=+11.889 n=60 (55s)
[14:41:11]     [T3 1BJ4 pH5.0 p8] target=+29 eff=+24.458 n=60 (55s)
[14:42:05]     [T3 1BJ4 pH5.5 native] target=+15 eff=+13.277 n=60 (55s)
[14:43:00]     [T3 1BJ4 pH5.5 n2] target=+13 eff=+12.253 n=60 (55s)
[14:43:54]     [T3 1BJ4 pH5.5 p2] target=+17 eff=+14.301 n=60 (54s)
[14:44:49]     [T3 1BJ4 pH5.5 n8] target=+7 eff=+9.182 n=60 (54s)
[14:45:43]     [T3 1BJ4 pH5.5 p8] target=+23 eff=+17.372 n=60 (54s)
[14:46:38]     [T3 1BJ4 pH6.0 native] target=+9 eff=+8.631 n=60 (55s)
[14:47:33]     [T3 1BJ4 pH6.0 n2] target=+7 eff=+7.585 n=60 (54s)
[14:48:27]     [T3 1BJ4 pH6.0 p2] target=+11 eff=+9.677 n=60 (55s)
[14:49:22]     [T3 1BJ4 pH6.0 n8] target=+1 eff=+4.446 n=60 (55s)
[14:50:16]     [T3 1BJ4 pH6.0 p8] target=+17 eff=+12.816 n=60 (54s)
[14:51:10]     [T3 1BJ4 pH6.5 native] target=+5 eff=+5.561 n=60 (54s)
[14:52:05]     [T3 1BJ4 pH6.5 n2] target=+3 eff=+4.673 n=60 (54s)
[14:52:59]     [T3 1BJ4 pH6.5 p2] target=+7 eff=+6.449 n=60 (54s)
[14:53:52]     [T3 1BJ4 pH6.5 n8] target=-3 eff=+2.008 n=60 (54s)
[14:54:46]     [T3 1BJ4 pH6.5 p8] target=+13 eff=+9.114 n=60 (54s)
[14:55:40]     [T3 1BJ4 pH7.0 native] target=+2 eff=+3.379 n=60 (54s)
[14:56:34]     [T3 1BJ4 pH7.0 n2] target=+0 eff=+2.498 n=60 (54s)
[14:57:28]     [T3 1BJ4 pH7.0 p2] target=+4 eff=+4.260 n=60 (54s)
[14:58:22]     [T3 1BJ4 pH7.0 n8] target=-6 eff=-0.145 n=60 (54s)
[14:59:18]     [T3 1BJ4 pH7.0 p8] target=+10 eff=+6.903 n=60 (55s)
[15:00:11]     [T3 1BJ4 pH7.4 native] target=+0 eff=+2.021 n=60 (54s)
[15:01:05]     [T3 1BJ4 pH7.4 n2] target=-2 eff=+1.014 n=60 (54s)
