[11:25:38] == exp7b prot | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=mompnn_temberture_tm_esm_6_4_4_b01.ckpt enc=finetune_epoch030.pt
    条件编码器已加载: finetune_epoch030.pt  (epoch=30, n_tokens=4, token_dim=128)
[12:51:52]     [T2 1AS2 pH5.5 n2] target=+2 eff=+2.683 n=60 (80s)
[12:53:12]     [T2 1AS2 pH5.5 p2] target=+6 eff=+4.600 n=60 (80s)
[12:54:32]     [T2 1AS2 pH5.5 n8] target=-4 eff=-0.192 n=60 (80s)
[12:55:52]     [T2 1AS2 pH5.5 p8] target=+12 eff=+7.475 n=60 (80s)
[12:57:11]     [T2 1AS2 pH6.0 native] target=+2 eff=+2.683 n=60 (80s)
[12:58:31]     [T2 1AS2 pH6.0 n2] target=+0 eff=+1.725 n=60 (80s)
[12:59:51]     [T2 1AS2 pH6.0 p2] target=+4 eff=+3.642 n=60 (80s)
[13:01:11]     [T2 1AS2 pH6.0 n8] target=-6 eff=-1.150 n=60 (80s)
[13:02:31]     [T2 1AS2 pH6.0 p8] target=+10 eff=+6.517 n=60 (80s)
[13:03:51]     [T2 1AS2 pH6.5 native] target=+0 eff=+1.725 n=60 (80s)
[13:05:11]     [T2 1AS2 pH6.5 n2] target=-2 eff=+0.767 n=60 (80s)
[13:06:31]     [T2 1AS2 pH6.5 p2] target=+2 eff=+2.683 n=60 (80s)
[13:07:47]     [T2 1AS2 pH6.5 n8] target=-8 eff=-2.108 n=60 (75s)
[13:08:56]     [T2 1AS2 pH6.5 p8] target=+8 eff=+5.558 n=60 (70s)
[13:10:06]     [T2 1AS2 pH7.0 native] target=-2 eff=+0.767 n=60 (70s)
[13:11:15]     [T2 1AS2 pH7.0 n2] target=-4 eff=-0.192 n=60 (70s)
[13:12:25]     [T2 1AS2 pH7.0 p2] target=+0 eff=+1.725 n=60 (70s)
[13:13:30]     [T2 1AS2 pH7.0 n8] target=-10 eff=-3.067 n=60 (65s)
[13:14:28]     [T2 1AS2 pH7.0 p8] target=+6 eff=+4.600 n=60 (58s)
[13:15:26]     [T2 1AS2 pH7.4 native] target=-3 eff=+0.287 n=60 (58s)
[13:16:25]     [T2 1AS2 pH7.4 n2] target=-5 eff=-0.671 n=60 (58s)
